ID,wav,speaker
v1_voices_id0001_Urdu_0R7kQU1AxK8_00000,v1/voices/id0001/Urdu/0R7kQU1AxK8/00000.wav,id0001
v1_voices_id0001_Urdu_0R7kQU1AxK8_00001,v1/voices/id0001/Urdu/0R7kQU1AxK8/00001.wav,id0001
v1_voices_id0001_Urdu_0R7kQU1AxK8_00002,v1/voices/id0001/Urdu/0R7kQU1AxK8/00002.wav,id0001
v1_voices_id0001_Urdu_0R7kQU1AxK8_00003,v1/voices/id0001/Urdu/0R7kQU1AxK8/00003.wav,id0001
v1_voices_id0001_Urdu_0R7kQU1AxK8_00004,v1/voices/id0001/Urdu/0R7kQU1AxK8/00004.wav,id0001
v1_voices_id0001_Urdu_0R7kQU1AxK8_00005,v1/voices/id0001/Urdu/0R7kQU1AxK8/00005.wav,id0001
v1_voices_id0001_Urdu_UP5R5jhcXzo_00000,v1/voices/id0001/Urdu/UP5R5jhcXzo/00000.wav,id0001
v1_voices_id0001_Urdu_UP5R5jhcXzo_00001,v1/voices/id0001/Urdu/UP5R5jhcXzo/00001.wav,id0001
v1_voices_id0001_Urdu_UP5R5jhcXzo_00002,v1/voices/id0001/Urdu/UP5R5jhcXzo/00002.wav,id0001
v1_voices_id0001_Urdu_UP5R5jhcXzo_00003,v1/voices/id0001/Urdu/UP5R5jhcXzo/00003.wav,id0001
v1_voices_id0001_Urdu_UP5R5jhcXzo_00004,v1/voices/id0001/Urdu/UP5R5jhcXzo/00004.wav,id0001
v1_voices_id0001_Urdu_UP5R5jhcXzo_00005,v1/voices/id0001/Urdu/UP5R5jhcXzo/00005.wav,id0001
v1_voices_id0001_Urdu_UP5R5jhcXzo_00006,v1/voices/id0001/Urdu/UP5R5jhcXzo/00006.wav,id0001
v1_voices_id0001_Urdu_UP5R5jhcXzo_00007,v1/voices/id0001/Urdu/UP5R5jhcXzo/00007.wav,id0001
v1_voices_id0001_Urdu_UP5R5jhcXzo_00008,v1/voices/id0001/Urdu/UP5R5jhcXzo/00008.wav,id0001
v1_voices_id0001_Urdu_UP5R5jhcXzo_00009,v1/voices/id0001/Urdu/UP5R5jhcXzo/00009.wav,id0001
v1_voices_id0001_Urdu_UP5R5jhcXzo_00010,v1/voices/id0001/Urdu/UP5R5jhcXzo/00010.wav,id0001
v1_voices_id0001_Urdu_JdSfeIiuSh8_00000,v1/voices/id0001/Urdu/JdSfeIiuSh8/00000.wav,id0001
