ID,wav,speaker
v3_voices_id0038_German_DKdY6ld_lJI_00012,v3/voices/id0038/German/DKdY6ld_lJI/00012.wav,id0038
v3_voices_id0032_German_CwhU5o8eoKE_00002,v3/voices/id0032/German/CwhU5o8eoKE/00002.wav,id0032
v3_voices_id0041_German_dzdj2DxHqwY_00001,v3/voices/id0041/German/dzdj2DxHqwY/00001.wav,id0041
v3_voices_id0009_German_k4a9aqDW_dI_00023,v3/voices/id0009/German/k4a9aqDW_dI/00023.wav,id0009
v3_voices_id0006_German_Q-VBiizGNq8_00015,v3/voices/id0006/German/Q-VBiizGNq8/00015.wav,id0006
v3_voices_id0057_German_Zo-zH4oduic_00017,v3/voices/id0057/German/Zo-zH4oduic/00017.wav,id0057
v3_voices_id0025_German_hAr6jHIqSGA_00009,v3/voices/id0025/German/hAr6jHIqSGA/00009.wav,id0025
v3_voices_id0028_German_DRnos20OlzY_00007,v3/voices/id0028/German/DRnos20OlzY/00007.wav,id0028
v3_voices_id0030_German_VIHNCmmNH1s_00038,v3/voices/id0030/German/VIHNCmmNH1s/00038.wav,id0030
v3_voices_id0042_German_8VCOg4ELM_s_00013,v3/voices/id0042/German/8VCOg4ELM_s/00013.wav,id0042
v3_voices_id0020_German_-bhDAECe3FI_00008,v3/voices/id0020/German/-bhDAECe3FI/00008.wav,id0020
v3_voices_id0030_German_VIHNCmmNH1s_00082,v3/voices/id0030/German/VIHNCmmNH1s/00082.wav,id0030
v3_voices_id0057_German_D5rBHljMhhU_00037,v3/voices/id0057/German/D5rBHljMhhU/00037.wav,id0057
v3_voices_id0030_German_VIHNCmmNH1s_00083,v3/voices/id0030/German/VIHNCmmNH1s/00083.wav,id0030
v3_voices_id0030_German_VIHNCmmNH1s_00043,v3/voices/id0030/German/VIHNCmmNH1s/00043.wav,id0030
v3_voices_id0030_German_VIHNCmmNH1s_00086,v3/voices/id0030/German/VIHNCmmNH1s/00086.wav,id0030
v3_voices_id0041_German_dzdj2DxHqwY_00006,v3/voices/id0041/German/dzdj2DxHqwY/00006.wav,id0041
v3_voices_id0030_German_VIHNCmmNH1s_00090,v3/voices/id0030/German/VIHNCmmNH1s/00090.wav,id0030
v3_voices_id0012_German_hHziM7QOly4_00004,v3/voices/id0012/German/hHziM7QOly4/00004.wav,id0012
v3_voices_id0043_German_8E4QdBhilgs_00000,v3/voices/id0043/German/8E4QdBhilgs/00000.wav,id0043
v3_voices_id0020_German_-bhDAECe3FI_00010,v3/voices/id0020/German/-bhDAECe3FI/00010.wav,id0020
v3_voices_id0056_German_0sMoUCzqj1Q_00003,v3/voices/id0056/German/0sMoUCzqj1Q/00003.wav,id0056
v3_voices_id0057_German_D5rBHljMhhU_00014,v3/voices/id0057/German/D5rBHljMhhU/00014.wav,id0057
v3_voices_id0044_German_XmZU2xgo9VY_00037,v3/voices/id0044/German/XmZU2xgo9VY/00037.wav,id0044
v3_voices_id0016_German_7BrV3ztO9mw_00015,v3/voices/id0016/German/7BrV3ztO9mw/00015.wav,id0016
v3_voices_id0055_German_oucoU5tp0zw_00006,v3/voices/id0055/German/oucoU5tp0zw/00006.wav,id0055
v3_voices_id0055_German_DM3pI__Ipcc_00002,v3/voices/id0055/German/DM3pI__Ipcc/00002.wav,id0055
v3_voices_id0006_German_Q-VBiizGNq8_00008,v3/voices/id0006/German/Q-VBiizGNq8/00008.wav,id0006
v3_voices_id0030_German_VIHNCmmNH1s_00049,v3/voices/id0030/German/VIHNCmmNH1s/00049.wav,id0030
v3_voices_id0016_German_dvpMWTzxPAc_00023,v3/voices/id0016/German/dvpMWTzxPAc/00023.wav,id0016
v3_voices_id0041_German_zLCoM3KRn7w_00019,v3/voices/id0041/German/zLCoM3KRn7w/00019.wav,id0041
v3_voices_id0043_German_AljbaZimb9I_00003,v3/voices/id0043/German/AljbaZimb9I/00003.wav,id0043
v3_voices_id0009_German_k4a9aqDW_dI_00005,v3/voices/id0009/German/k4a9aqDW_dI/00005.wav,id0009
v3_voices_id0057_German_Zo-zH4oduic_00004,v3/voices/id0057/German/Zo-zH4oduic/00004.wav,id0057
v3_voices_id0057_German_Zo-zH4oduic_00036,v3/voices/id0057/German/Zo-zH4oduic/00036.wav,id0057
v3_voices_id0044_German_ECqGd_RzfDA_00016,v3/voices/id0044/German/ECqGd_RzfDA/00016.wav,id0044
v3_voices_id0057_German_JxUanx41Las_00002,v3/voices/id0057/German/JxUanx41Las/00002.wav,id0057
v3_voices_id0047_German_vj1RBrk3RXo_00003,v3/voices/id0047/German/vj1RBrk3RXo/00003.wav,id0047
v3_voices_id0006_German_CG88veC-vDs_00011,v3/voices/id0006/German/CG88veC-vDs/00011.wav,id0006
v3_voices_id0013_German_ex8WF8z3vq8_00010,v3/voices/id0013/German/ex8WF8z3vq8/00010.wav,id0013
v3_voices_id0055_German_oucoU5tp0zw_00030,v3/voices/id0055/German/oucoU5tp0zw/00030.wav,id0055
v3_voices_id0016_German_7BrV3ztO9mw_00008,v3/voices/id0016/German/7BrV3ztO9mw/00008.wav,id0016
v3_voices_id0030_German_VIHNCmmNH1s_00079,v3/voices/id0030/German/VIHNCmmNH1s/00079.wav,id0030
v3_voices_id0001_German_OmqPjkYoqRo_00023,v3/voices/id0001/German/OmqPjkYoqRo/00023.wav,id0001
v3_voices_id0001_German_OmqPjkYoqRo_00026,v3/voices/id0001/German/OmqPjkYoqRo/00026.wav,id0001
v3_voices_id0057_German_sZjqF8Itz5I_00021,v3/voices/id0057/German/sZjqF8Itz5I/00021.wav,id0057
v3_voices_id0056_German_puhVKfWcHcs_00007,v3/voices/id0056/German/puhVKfWcHcs/00007.wav,id0056
v3_voices_id0018_German_IACquCI-U50_00001,v3/voices/id0018/German/IACquCI-U50/00001.wav,id0018
v3_voices_id0028_German_eogFUuT25f4_00023,v3/voices/id0028/German/eogFUuT25f4/00023.wav,id0028
v3_voices_id0045_German_orxGzeyHuE0_00020,v3/voices/id0045/German/orxGzeyHuE0/00020.wav,id0045
v3_voices_id0001_German_OmqPjkYoqRo_00008,v3/voices/id0001/German/OmqPjkYoqRo/00008.wav,id0001
v3_voices_id0036_German_37j06NKAB3c_00007,v3/voices/id0036/German/37j06NKAB3c/00007.wav,id0036
v3_voices_id0028_German_eogFUuT25f4_00002,v3/voices/id0028/German/eogFUuT25f4/00002.wav,id0028
v3_voices_id0028_German_DRnos20OlzY_00005,v3/voices/id0028/German/DRnos20OlzY/00005.wav,id0028
v3_voices_id0016_German_7BrV3ztO9mw_00001,v3/voices/id0016/German/7BrV3ztO9mw/00001.wav,id0016
v3_voices_id0052_German_tHx1edLkXwU_00000,v3/voices/id0052/German/tHx1edLkXwU/00000.wav,id0052
v3_voices_id0012_German__jyAzohq6Qg_00027,v3/voices/id0012/German/_jyAzohq6Qg/00027.wav,id0012
v3_voices_id0012_German_3mD2MzHMVP0_00000,v3/voices/id0012/German/3mD2MzHMVP0/00000.wav,id0012
v3_voices_id0010_German_MxiOjLkQ-98_00033,v3/voices/id0010/German/MxiOjLkQ-98/00033.wav,id0010
v3_voices_id0013_German_X1QvJBgwA44_00001,v3/voices/id0013/German/X1QvJBgwA44/00001.wav,id0013
v3_voices_id0047_German_vj1RBrk3RXo_00001,v3/voices/id0047/German/vj1RBrk3RXo/00001.wav,id0047
v3_voices_id0030_German_VIHNCmmNH1s_00097,v3/voices/id0030/German/VIHNCmmNH1s/00097.wav,id0030
v3_voices_id0055_German_DM3pI__Ipcc_00016,v3/voices/id0055/German/DM3pI__Ipcc/00016.wav,id0055
v3_voices_id0057_German_Zo-zH4oduic_00059,v3/voices/id0057/German/Zo-zH4oduic/00059.wav,id0057
v3_voices_id0010_German_MxiOjLkQ-98_00054,v3/voices/id0010/German/MxiOjLkQ-98/00054.wav,id0010
v3_voices_id0046_German_DkbEyCAV-wk_00043,v3/voices/id0046/German/DkbEyCAV-wk/00043.wav,id0046
v3_voices_id0056_German_puhVKfWcHcs_00104,v3/voices/id0056/German/puhVKfWcHcs/00104.wav,id0056
v3_voices_id0013_German_zpmcvt4j--U_00006,v3/voices/id0013/German/zpmcvt4j--U/00006.wav,id0013
v3_voices_id0030_German_VIHNCmmNH1s_00011,v3/voices/id0030/German/VIHNCmmNH1s/00011.wav,id0030
v3_voices_id0043_German_AljbaZimb9I_00002,v3/voices/id0043/German/AljbaZimb9I/00002.wav,id0043
v3_voices_id0016_German_4BEYh1O14Oc_00024,v3/voices/id0016/German/4BEYh1O14Oc/00024.wav,id0016
v3_voices_id0023_German_yW1PTXpW0JA_00056,v3/voices/id0023/German/yW1PTXpW0JA/00056.wav,id0023
v3_voices_id0022_German_ENdechAstZg_00002,v3/voices/id0022/German/ENdechAstZg/00002.wav,id0022
v3_voices_id0016_German_4BEYh1O14Oc_00001,v3/voices/id0016/German/4BEYh1O14Oc/00001.wav,id0016
v3_voices_id0013_German_X1QvJBgwA44_00000,v3/voices/id0013/German/X1QvJBgwA44/00000.wav,id0013
v3_voices_id0056_German_puhVKfWcHcs_00103,v3/voices/id0056/German/puhVKfWcHcs/00103.wav,id0056
v3_voices_id0028_German_eogFUuT25f4_00009,v3/voices/id0028/German/eogFUuT25f4/00009.wav,id0028
v3_voices_id0028_German_eogFUuT25f4_00007,v3/voices/id0028/German/eogFUuT25f4/00007.wav,id0028
v3_voices_id0057_German_qNYOrfJES6Q_00002,v3/voices/id0057/German/qNYOrfJES6Q/00002.wav,id0057
v3_voices_id0046_German_DkbEyCAV-wk_00021,v3/voices/id0046/German/DkbEyCAV-wk/00021.wav,id0046
v3_voices_id0028_German_eogFUuT25f4_00026,v3/voices/id0028/German/eogFUuT25f4/00026.wav,id0028
